Substance,Type,Valore,Context
3-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2009 oral: feed Rat subchronic not reported not reported;
3-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2014 oral: feed Rat subchronic not reported not reported;
3-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2015 oral: feed Rat subchronic not reported not reported;
3-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2018 oral: feed Rat subchronic not reported not reported;
3-Butenyl isothiocyanate,NOAEL '=,12.0 mg/kg bw/day,2008 oral: gavage Rat chronic/long term toxicity histopathology neoplastic not reported;
3-Butylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
3-Butylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
3-Butylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
3-Chloro-5-trifluoromethylpyridine-2-carboxylic acid,LD50 '=,5000.0 mg/kg bw/day,2009 oral: unspecified Rat acute toxicity mortality systemic;
3-chloroacrylic acid,LD50 '=,91.0 mg/kg bw,2006 oral: unspecified Rat acute toxicity mortality systemic;
3-chloroallyl acid,LD50 '=,316.0 mg/kg,2006 dermal Rabbit acute toxicity mortality systemic;
3-chloroallyl acid,LD50 '=,91.0 mg/kg,2006 oral: unspecified Rat acute toxicity mortality systemic;
3-Desmethyl-F8426-benzoic acid,NOAEL '=,5.4 mg/kg bw/day,2016 Not reported Rat short-term toxicity not reported not reported;
3-Desmethyl-F8426-chloropropionic acid,NOAEL '=,3.0 mg/kg bw/day,2016 Not reported Rat chronic/long term toxicity haematology hemopoietic;
3-Desmethyl-F8426-propionic acid,NOAEL '=,1.4 mg/kg bw/day,2016 Not reported Rat short-term toxicity not reported not reported;
3-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2009 oral: feed Rat subchronic not reported not reported;
3-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2014 oral: feed Rat subchronic not reported not reported;
3-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2015 oral: feed Rat subchronic not reported not reported;
3-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2018 oral: feed Rat subchronic not reported not reported;
3-Hydroxybutan-2-one,NOAEL '=,90.0 mg/kg bw/day,2016 oral: gavage Rat subchronic mortality systemic;
3-Hydroxymethyl-F8426-benzoic acid,NOAEL '=,10.1 mg/kg bw/day,2016 Not reported Rat short-term toxicity not reported not reported;
3-Hydroxymethyl-F8426-chloropropionic acid,NOAEL '=,3.0 mg/kg bw/day,2016 Not reported Rat chronic/long term toxicity haematology hemopoietic;
3-Hydroxymethyl-F8426-propionic acid,NOAEL '=,1.4 mg/kg bw/day,2016 Not reported Rat short-term toxicity not reported not reported;
3-Isobutylpyridine,NOAEL '=,37.0 mg/kg bw/day,2009 oral: feed Rat subchronic not reported not reported;
3-Isobutylpyridine,NOAEL '=,37.0 mg/kg bw/day,2011 oral: gavage Rat subchronic gross pathology systemic;
3-Isobutylpyridine,NOAEL '=,37.0 mg/kg bw/day,2014 oral: feed Rat subchronic not reported not reported;
3-Isobutylpyridine,NOAEL '=,37.0 mg/kg bw/day,2015 oral: feed Rat subchronic not reported not reported;
3-Isobutylpyridine,NOAEL '=,37.0 mg/kg bw/day,2018 oral: feed Rat subchronic not reported not reported;
3-Mercapto-2-methyl-1-butanol,NOAEL '=,0.06 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
3-Mercapto-2-methylpentan-1-ol,NOAEL '=,0.06 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
3-Mercapto-2-methylpentanal,NOAEL '=,0.06 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
3-Mercapto-2-methylpropionic acid,NOAEL '=,0.06 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-methylpropionic acid,NOAEL '=,0.06 mg/kg bw/day,2010 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-methylpropionic acid,NOAEL '=,0.06 mg/kg bw/day,2010 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-methylpropionic acid,NOAEL '=,0.06 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-methylpropionic acid,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-methylpropionic acid,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-oxopropionic acid,NOAEL '=,0.06 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-oxopropionic acid,NOAEL '=,0.06 mg/kg bw/day,2010 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-oxopropionic acid,NOAEL '=,0.06 mg/kg bw/day,2010 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-oxopropionic acid,NOAEL '=,0.06 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-oxopropionic acid,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercapto-2-oxopropionic acid,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercaptobutan-2-ol,NOAEL '=,0.06 mg/kg bw/day,2011 oral: unspecified Rat subchronic not reported not reported;
3-Mercaptoheptyl acetate,NOAEL '=,0.06 mg/kg bw/day,2011 oral: unspecified Rat subchronic not reported not reported;
3-Mercaptoheptyl acetate,NOAEL '=,0.06 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
3-Mercaptohexanal,NOAEL '=,0.06 mg/kg bw/day,2010 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercaptohexanal,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercaptohexanal,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercaptothiophene,NOAEL '=,0.29 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
3-Mercaptothiophene,NOAEL '=,0.29 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Mercaptothiophene,NOAEL '=,0.29 mg/kg bw/day,2011 Not reported Rat subchronic no adverse effect observed at single/highest dose;
3-Mercaptothiophene,NOAEL '=,0.29 mg/kg bw/day,2012 Not reported Rat subchronic no adverse effect observed at single/highest dose;
3-Mercaptothiophene,NOAEL '=,0.29 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
3-Mercaptothiophene,NOAEL '=,0.29 mg/kg bw/day,2015 Not reported Unspecified not reported not reported not reported;
3-methyl-2-sulfamoylbenzoic acid,NOAEL '=,2.54 mg/kg bw/day,2022 Not reported Rat chronic/long term toxicity body weight systemic;
3-Methylbutanal,NOAEL >,1000.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
3-Methylbutanal,NOAEL '=,50.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity body weight systemic;
3-Methylbutanal,NOAEL '=,340.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic haematology hemopoietic;
3-Methylbutanal,NOAEL >,1450.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutanal,NOAEL >,300.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutanal,NOAEL >,2500.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutanal,NOAEL '=,125.0 mg/kg bw/day,2012 oral: gavage Rat subchronic gross pathology systemic;
3-Methylbutanal,NOAEL >,219.0 mg/kg bw/day,2012 oral: unspecified Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl butyrate,NOAEL >,1000.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
3-Methylbutyl butyrate,NOAEL '=,50.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity body weight systemic;
3-Methylbutyl butyrate,NOAEL '=,340.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic haematology hemopoietic;
3-Methylbutyl butyrate,NOAEL >,1450.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl butyrate,NOAEL >,300.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl butyrate,NOAEL >,2500.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl butyrate,NOAEL '=,125.0 mg/kg bw/day,2012 oral: gavage Rat subchronic gross pathology systemic;
3-Methylbutyl butyrate,NOAEL >,219.0 mg/kg bw/day,2012 oral: unspecified Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl formate,NOAEL >,1000.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
3-Methylbutyl formate,NOAEL '=,50.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity body weight systemic;
3-Methylbutyl formate,NOAEL '=,340.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic haematology hemopoietic;
3-Methylbutyl formate,NOAEL >,1450.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl formate,NOAEL >,300.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl formate,NOAEL >,2500.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl formate,NOAEL '=,125.0 mg/kg bw/day,2012 oral: gavage Rat subchronic gross pathology systemic;
3-Methylbutyl formate,NOAEL >,219.0 mg/kg bw/day,2012 oral: unspecified Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl propionate,NOAEL >,1000.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
3-Methylbutyl propionate,NOAEL '=,50.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity body weight systemic;
3-Methylbutyl propionate,NOAEL '=,340.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic haematology hemopoietic;
3-Methylbutyl propionate,NOAEL >,1450.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl propionate,NOAEL >,300.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl propionate,NOAEL >,2500.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyl propionate,NOAEL '=,125.0 mg/kg bw/day,2012 oral: gavage Rat subchronic gross pathology systemic;
3-Methylbutyl propionate,NOAEL >,219.0 mg/kg bw/day,2012 oral: unspecified Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyric acid,NOAEL >,1000.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
3-Methylbutyric acid,NOAEL '=,50.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity body weight systemic;
3-Methylbutyric acid,NOAEL '=,340.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic haematology hemopoietic;
3-Methylbutyric acid,NOAEL >,1450.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyric acid,NOAEL >,300.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyric acid,NOAEL >,2500.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Methylbutyric acid,NOAEL '=,125.0 mg/kg bw/day,2012 oral: gavage Rat subchronic gross pathology systemic;
3-Methylbutyric acid,NOAEL >,219.0 mg/kg bw/day,2012 oral: unspecified Rat subchronic no adverse effect observed at single/highest dose;
3-Methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
3-Methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
3-Methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
3-Methylsulfinyl-5-trifluoromethylpyridine-2-carboxylic acid,LD50 >,5000.0 mg/kg bw/day,2009 oral: unspecified Rat acute toxicity mortality systemic;
3-Methylthio-2-butanone,NOAEL '=,250.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic not reported not reported;
3-Methylthio-2-butanone,NOAEL '=,250.0 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
3-Pentanethiol,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Pentanethiol,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
3-Pentylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
3-Pentylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
3-Pentylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
3-Phenylpropan-1-ol,NOAEL '=,275.0 mg/kg bw/day,2017 oral: feed Rat subchronic clinical chemistry systemic;
3-Phenylpropanal,NOAEL '=,275.0 mg/kg bw/day,2017 oral: feed Rat subchronic clinical chemistry systemic;
3-Phenylpropyl isobutyrate,NOAEL '=,275.0 mg/kg bw/day,2017 oral: feed Rat subchronic clinical chemistry systemic;
3-Propylidenephthalide,NOAEL '=,5.42 mg/kg bw/day,2012 oral: unspecified Rat subchronic not reported not reported;
3-Propylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
3-Propylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
3-Sulfo-5-trifluoromethyl pyridine-2-carboxylic acid,LD50 >,5000.0 mg/kg bw/day,2009 oral: unspecified Rat acute toxicity mortality systemic;
3-Trifluoromethyl-1H-pyrazole-4-carboxylic acid,NOAEL '=,75.0 mg/kg bw/day,2013 Not reported Rabbit reproduction toxicity development developmental;
3-Trifluoromethyl-1H-pyrazole-4-carboxylic acid,NOAEL '=,11.0 mg/kg bw/day,2013 Not reported Rat reproduction toxicity body weight systemic;
3'-Sialyllactose sodium salt,NOAEL '=,5000.0 mg/kg bw/day,2020 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
4-((2-Methyl-3-furyl)thio)nonan-5-one,NOAEL '=,3.76 mg/kg bw/day,2015 oral: feed Rat subchronic not reported not reported;
4-(4-Methoxyphenyl)butan-2-one,NOAEL '=,128.0 mg/kg bw/day,2016 oral: feed Rat subchronic organ weights systemic;
4-(p-Hydroxyphenyl)butan-2-one,NOAEL '=,280.0 mg/kg bw/day,2008 Not reported Unspecified subchronic not reported not reported;
4-(p-Hydroxyphenyl)butan-2-one,NOAEL '=,128.0 mg/kg bw/day,2016 oral: feed Rat subchronic organ weights systemic;
4-[(2-furanylmethyl)thio]-2-pentanone,NOAEL '=,3.76 mg/kg bw/day,2010 oral: feed Rat subchronic not reported not reported;
4-[(2-furanylmethyl)thio]-2-pentanone,NOAEL '=,3.76 mg/kg bw/day,2015 oral: feed Rat subchronic not reported not reported;
4-[2-Chloro-4-(trifluoromethyl)phenoxy-2-fluorobenzenamine,LD50 '=,1937.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
4-Acetyl-2-methylpyrimidine,NOAEL '=,1.0 mg/kg bw/day,2011 Not reported Rat subchronic not reported not reported;
4-Acetylbenzene sulfonamide,NOAEL '=,30.0 mg/kg bw/day,2018 oral: gavage Rat short-term toxicity food consumption systemic;
4-Acetylbenzene sulfonamide,NOAEL '=,30.0 mg/kg bw/day,2021 Not reported Rat subchronic not reported not reported;
4-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
4-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
4-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
4-Aminophenol,NOAEL '=,3.2 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity haematology hemopoietic;
4-Aminophenol,NOAEL '=,5.2 mg/kg bw/day,2018 oral: unspecified Rat subchronic haematology hemopoietic;
4-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
4-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
4-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
4-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
4-Chlorobenzoic acid,LD50 '=,1170.0 mg/kg bw,2013 oral: unspecified Rat acute toxicity mortality systemic;
4-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
4-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
4-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
4-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
4-Ethyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
4-Ethyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
4-Ethyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Ethyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Ethyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
4-Ethyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
4-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
4-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
4-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
4-fluoro-3-phenoxybenzaldehyde,NOAEL '=,1.0 mg/kg bw/day,2018 oral: unspecified Rat short-term toxicity behaviour systemic;
4-Fluoro-3-phenoxybenzoic acid,NOAEL '=,1.0 mg/kg bw/day,2018 oral: unspecified Rat short-term toxicity behaviour systemic;
4-Hydroxy-5-methylfuran-3(2H)-one,NOAEL '=,200.0 mg/kg bw/day,2011 oral: feed Rat chronic/long term toxicity body weight systemic;
4-Isopropylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
4-Isopropylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
4-Isopropylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
4-Methoxyacetophenone,NOAEL '=,50.0 mg/kg bw/day,2016 oral: feed Rat subchronic haematology hemopoietic;
4-Methoxybenzaldehyde,NOAEL '=,20.0 mg/kg bw/day,2012 oral: gavage Rat subchronic body weight systemic;
4-Methyl-2-propionylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
4-Methyl-2-propionylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
4-Methyl-2-propionylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Methyl-2-propionylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Methyl-2-propionylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
4-Methyl-2-propionylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
4-Methylacetophenone,NOAEL '=,50.0 mg/kg bw/day,2016 oral: feed Rat subchronic haematology hemopoietic;
4-Methylimidazolidin-2-one,NOAEL '=,8.0 mg/kg bw/day,2016 Not reported Mouse chronic/long term toxicity histopathology neoplastic hepatotoxicity;
4-Methylimidazolidine-2-thione,LD50 '=,795.0 mg/kg bw/day,2016 oral: unspecified Rat acute toxicity mortality systemic;
4-Methylimidazolidine-2-thione,NOAEL '=,0.16 mg/kg bw/day,2016 Not reported Mouse chronic/long term toxicity histopathology neoplastic hepatotoxicity;
4-Methylimidazolidine-2-thione,NOAEL '=,0.202 mg/kg bw/day,2016 Not reported Rat reproduction toxicity body weight systemic;
4-Methylimidazolidine-2-thione,NOAEL '=,1.2 mg/kg bw/day,2016 Not reported Rat reproduction toxicity body weight systemic;
4-Methyloctanoic acid,NOAEL >,1000.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
4-Methyloctanoic acid,NOAEL '=,50.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity body weight systemic;
4-Methyloctanoic acid,NOAEL '=,340.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic haematology hemopoietic;
4-Methyloctanoic acid,NOAEL >,1450.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic no adverse effect observed at single/highest dose;
4-Methyloctanoic acid,NOAEL >,300.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Methyloctanoic acid,NOAEL >,2500.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
4-Methyloctanoic acid,NOAEL '=,125.0 mg/kg bw/day,2012 oral: gavage Rat subchronic gross pathology systemic;
4-Methyloctanoic acid,NOAEL >,219.0 mg/kg bw/day,2012 oral: unspecified Rat subchronic no adverse effect observed at single/highest dose;
4-Methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
4-Methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
4-Methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
4-Methylthio-2-pentanone,NOAEL '=,250.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic not reported not reported;
4-Methylthio-2-pentanone,NOAEL '=,250.0 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
4-Trifluoro-methoxyaniline,NOAEL '=,0.5 mg/kg bw/day,2011 Not reported Rat short-term toxicity not reported not reported;
4(10)-Thujene,NOAEL '=,222.0 mg/kg bw/day,2015 oral: feed Rat subchronic haematology systemic;
5-(Trifluoromethyl)-2(1H)-pyridinone,NOAEL '=,60.0 mg/kg bw/day,2012 Not reported Rat reproduction toxicity development developmental;
5-Ethyl-2-methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2009 oral: feed Rat subchronic not reported not reported;
5-Ethyl-2-methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2014 oral: feed Rat subchronic not reported not reported;
5-Ethyl-2-methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2015 oral: feed Rat subchronic not reported not reported;
5-Ethyl-2-methylpyridine,NOAEL '=,37.0 mg/kg bw/day,2018 oral: feed Rat subchronic not reported not reported;
5-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
5-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
5-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
5-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
5-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
5-Ethyl-2-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
5-Ethylthiophene-2-carbaldehyde,NOAEL '=,7.5 mg/kg bw/day,2015 oral: gavage Rat subchronic clinical chemistry systemic;
5-Methyl-2-furanmethanethiol,NOAEL '=,3.0 mg/kg bw/day,2005 oral: gavage Rat subchronic organ weights systemic;
5-Methyl-2-furanmethanethiol,NOAEL '=,3.0 mg/kg bw/day,2010 oral: gavage Rat subchronic organ weights systemic;
5-Methyl-2-furanmethanethiol,NOAEL '=,3.0 mg/kg bw/day,2011 oral: gavage Rat subchronic organ weights systemic;
5-Methyl-2-pentylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
5-Methyl-2-pentylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
5-Methyl-2-pentylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
5-Methyl-2-pentylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
5-Methyl-2-pentylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
5-Methyl-2-pentylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
5-Methylheptan-3-one,NOAEL '=,82.0 mg/kg bw/day,2005 oral: gavage Rat subchronic clinical signs neurotoxicity;
5-Methylheptan-3-one,NOAEL '=,82.0 mg/kg bw/day,2008 oral: gavage Rat subchronic behaviour neurotoxicity;
5-Methylheptan-3-one,NOAEL '=,82.0 mg/kg bw/day,2009 oral: gavage Rat subchronic behaviour neurotoxicity;
5-Methylheptan-3-one,NOAEL '=,82.0 mg/kg bw/day,2010 oral: gavage Rat subchronic behaviour neurotoxicity;
